"X201728"	"XNextWeek1"	"XNextWeek2"	"XNextWeek3"
"10327"	12128641,9742552	12361843,6980216	7588602,09050685	6565870,6976045
"10328"	6936035,19706247	6108544,4663541	5242965,25149727	2434304,05869531
"10331"	10064453,5622909	8901176,46842586	11872056,3007716	11076726,6393828
"10332"	9803444,85589226	8680337,5034162	10208029,2558304	4284889,27140206
"10336"	280634,6359106	248767,592934159	258345,243468039	143756,088896402
"10337"	317083,197056197	285945,888111441	304988,022568328	178727,023524954
"10338"	1347114,50533113	873284,152354163	924681,997736299	1463708,79201505
"10344"	1218053,10601205	2209890,68725668	1608097,43134888	1345326,13689019
"10357"	1403403,44779165	1667607,79111969	3363821,18567425	3436730,51868432
"10375"	706361,163714623	888920,094552223	1321531,0339397	1281030,90370644
"10377"	2238230,69430895	2743474,91463597	3091449,19041038	1408357,39838143
"10384"	2249,66335021016	2153,65171922706	3120,51056229451	4243,6895164794
"10398"	1218107,48620957	2744217,98149507	3461449,7117211	3541381,97633866
"10399"	234916,348676037	524018,895874738	754493,546601101	551623,908432503
"10400"	117132,521101307	246328,848664815	361710,054918016	239706,238012939
"10401"	94948,8552191922	173718,279135002	251182,910731331	156629,017838581
"10404"	178715,904960835	379861,124988018	454920,608452846	121105,773095556
"10409"	109832,913512766	152135,240683313	174723,560213621	75316,3820097054
"10410"	130168,008752432	202962,632574712	211188,519490486	88639,0659528041
"10416"	638208,999845967	1012802,38201803	1060594,53601725	418160,672859968
"10417"	595779,455122287	776872,468065829	696930,185593807	262834,830109979
"10418"	1058108,66876214	1188184,45097328	957842,383399218	344211,528552299
"10421"	21681,5725776883	32378,4008907814	33320,9832005148	13605,2910636563
"10425"	355039,0409569	418442,348298894	419699,026696229	145929,248426289
"10447"	158289,409156136	184764,753563595	320941,65671826	294550,207432576
"10448"	396430,301267986	375030,672092762	596255,605342213	493785,414091761
"10451"	187947,021353232	341389,141554925	349157,878230507	138112,811172126
"10459"	452531,992148604	995653,556689825	779322,845747056	313325,691033869
"10461"	320399,476239168	585186,727844082	527429,517435558	224153,295157261
"10475"	1906914,68265598	2507571,6174173	2565710,28687069	762084,81043052
"10476"	3226556,44695404	3546703,59583165	3715078,63664546	1532052,70955905
"10481"	15852,2790916297	30508,3495701859	42056,8931359284	21669,4520080566
"10491"	114840,51840858	37273,7445034668	13760,4768199831	47482,2998347427
"10495"	16855,4552326192	15942,0110789537	15341,0993401846	19670,7868359031
"10499"	35827,7111348348	40006,1567055115	54101,8457706771	54096,8332286077
"10502"	33346,4671809854	58373,8940804722	60967,0622905526	76531,479214698
"10504"	1158897,79110656	1731863,08815135	906033,580783387	1778139,66504812
"10505"	38572,2303160447	62603,5047906371	54349,5333264292	80253,9418562866
"10507"	181854,140590731	280640,354267872	160046,17000789	331289,446029836
"10508"	142907,697356224	217246,604046803	119293,034979885	246722,428439608
"10511"	148529,323340809	252466,562202036	180794,292767637	383185,278567198
"10513"	1080256,60180896	1193221,20947223	1096833,7701668	329793,332021239
"10518"	49455,3793624166	32697,9289321519	206389,110130922	348688,62690089
"10531"	61850,0398800847	85055,3995093617	125999,640774028	221070,113556735
"10533"	128174,941093027	199046,878584236	234991,907809687	56356,4323405227
"10536"	129157,511999166	179130,885003192	377698,47344648	360585,62875373
"10544"	477668,578930417	672683,978228846	1030560,06650323	672218,724650263
"10545"	100046,248462732	188822,181194074	284943,273597696	115272,844364786
"10550"	171567,218336416	219864,181464124	228101,685079716	341142,625395702
"10552"	52146,208661932	75708,4214610595	128395,741653119	157275,791053043
"10558"	125469,736826407	127957,933145667	226429,000592373	293330,032965614
"10560"	77179,0847282486	81522,8224975474	141402,790930993	176965,170162749
"10562"	14583,6200334085	19534,3789796434	35038,8472500758	36768,2509126444
"10565"	1350,86851288804	2159,85076837447	3265,68702770693	1983,64993174456
"10570"	21765,8157551726	38570,7595291888	35701,8728986266	3885,43535619227
"10576"	8231,32439253369	11400,5554677719	10081,7296064896	13999,0462590585
"10582"	313703,816942586	364991,081777304	497028,964755237	110504,994312581
"10583"	2018,73761319446	2406,9898311861	3424,98100592882	701,179732513936
"10611"	19382,3251582931	18774,397608126	104895,083648448	47979,6224247156
"10614"	51703,5622183185	70431,3571678204	177810,456983923	124821,757904141
"10616"	48248,9256632562	78293,1672268009	165704,575347331	285298,567057985
"10629"	0	0	0	0
"10631"	455,622400250649	346,562627027746	7290,51950580061	16882,6723973311
"10634"	7965,66542818036	12802,2339317004	24390,36838746	28987,5715202031
"10635"	8343,6695388584	13558,4274925708	24726,1661252	27459,7463724885
"10660"	37330,9259844692	56242,8345198042	124291,500906082	115823,5243067
"10674"	0	0	0	0
"10685"	0	0	0	0
"10687"	0	0	0	0
"10688"	0	0	0	0
"10690"	0	0	0	0
"10718"	41240,2314738263	73312,7198255532	66633,8596192214	6195,75216037605
"10720"	22382,2476173317	28246,3622819604	34282,5998303159	14180,2114816627
"10723"	93796,0781956413	174266,058957212	155863,445851588	9861,25816192469
"10724"	29313,4890335179	51990,2933321599	47475,8476022044	4682,13725750994
"10726"	51149,236986906	92489,5605976971	83602,0776366212	6852,46762356046
"10734"	3585,42096226202	6684,20532737065	6273,51658093863	624,032142500928
"10735"	6763,85010979887	12724,4992153571	11889,4654680678	1086,47721939319
"10736"	3006,59932815099	5594,1806022292	5291,32201268849	556,823741916872
"10746"	900,995266221687	1365,40423022814	2057,22853436182	1239,82971705863
"10747"	6149,63438909857	12422,390924679	85731,0745650519	52588,246003795
"10751"	6007,08341185064	11137,6496662128	54376,763239299	33133,185359602
"10752"	8590,90216836166	12256,8649727972	23627,2585751809	18086,9622718802
"10753"	7889,39304378291	11534,1332709576	32330,3009684834	23576,211078979
"10754"	11368,5009551034	15206,1676172204	31126,3472315505	26351,8484369871
"10757"	7108,08121298963	11536,6463849471	37159,1581456509	47841,231502179
"10759"	7650,39612066499	11876,8210386489	35117,1059225558	82069,1128289212
"10762"	15447,1339677222	20574,2741702682	36296,6733137783	37976,202851309
"10763"	18209,0442386795	23835,8921138223	39877,8903025774	41406,9770391605
"10766"	12599,8102992503	16781,6351460826	28807,723151099	29413,0624951867
"10768"	81096,3748754647	85159,1442530791	148310,869629228	186661,436328512
"10776"	100167,830605805	105335,593183676	181919,365471604	229306,416506589
"10780"	15391,1819225808	19872,6064324426	44033,3933144344	37768,4907383163
"10783"	63417,7323801199	63972,5162280689	63415,9710133206	24750,0387820795
"10789"	27265,752656378	37507,3834944569	91346,0283440184	68421,4346874952
"10790"	16497,883664777	23599,7953542769	53644,5336324955	50703,749183387
"10791"	34789,7884261724	47678,1550439425	117156,313927982	85536,1048202001
"10794"	22019,7684918818	30020,7776506591	69641,3049511755	48680,7454114637
"10795"	4946,54372752485	7264,04229466535	15472,736205879	14160,2506383115
"10796"	7109,38195740338	24665,0592457547	46810,4789757088	15755,6906310001
"10797"	3295,66570106484	4818,07566532695	9146,21477533049	6236,1134840366
"10798"	12482,8637002608	18054,3956598344	14023,7639703528	23908,1756428522
"10801"	31957,8365411182	44641,9735056734	67732,7041004019	80099,6765723739
"10802"	41788,5952467613	59721,1890205143	81274,9984675272	106790,918931219
"10803"	89549,7125869533	135227,302108028	142531,46563667	246511,761294534
"10804"	54216,1571228842	64966,6865844263	188541,379624986	134498,573534926
"10805"	9076,94343563631	12477,2402318784	11065,5385018434	15134,6487045763
"10806"	27949,0907585724	38587,6084290223	56953,5703261437	65715,0557027096
"10807"	27421,2081903846	38930,9188795482	44494,3401828428	61308,0876500496
"10808"	17421,2605906081	23840,9216108049	29646,6329156501	35709,7262426305
"10811"	20866,8519096074	28483,8093156721	67912,891925748	47794,8721225936
"10812"	111691,959840454	149866,735584197	430222,096785481	281175,213152461
"10814"	86021,9595691062	116098,157858247	317113,718483873	212625,59660652
"10815"	7001,10875555108	9540,68994827734	21090,4507117823	14940,9725127708
"10816"	4829,01843142956	6589,12886481559	14553,6735830359	10428,2188743516
"10817"	5015,66928752444	6842,89462497242	15115,5657340771	10818,5275404276
"10819"	62549,7934398457	82632,2872419892	152432,356310321	77993,8203998447
"10821"	121001,783391899	160441,81888557	301176,856589703	141403,862117037
"10822"	97254,5801292572	123753,308153323	190505,087842588	86826,8811084967
"10823"	2304,78826064659	3397,04792796048	7270,71886399881	6719,59728868998
"10824"	2780,98043353894	4067,03033246167	8696,49670182229	8024,98936444543
"10825"	3226,9417694187	4722,11864554643	10087,9862562642	9285,27970938924
"10828"	24662,9178932681	39635,9069004719	84851,6629817309	138450,141417284
"10830"	22907,6034377364	31717,3823418999	75258,9930791566	58693,2436922503
"10831"	25810,6018032444	35703,129307187	84989,4909099533	65844,2660449799
"10834"	55750,9877924905	90317,5652705937	190396,619122007	329734,200007048
"10836"	147733,615561376	232869,682431775	472895,031329162	844299,75385692
"10837"	30437,7134238976	58307,8708441472	139030,883344823	234036,859236518
"10838"	86333,2449854431	193385,959346141	484087,320839796	841522,106566926
"10839"	185837,576833283	278005,121058099	419790,317263365	357301,712701772
"10840"	144578,656734938	172784,856946833	321156,871889212	301857,494640098
"10841"	53067,9522800729	67470,8589912917	115507,370696058	122546,235905147
"10842"	442,641727195628	748,272024001896	1548,43192127628	2231,05471739219
"10843"	424,253086030884	714,630160701197	1471,04779888444	2097,81679514835
"10847"	398,395324263287	670,096228280873	1376,39988136044	1955,05475185949
"10858"	820609,686956485	1354260,39245971	2157198,00588854	788383,116466708
"10867"	27146,5746669371	31484,3889126461	44276,512084634	34879,6134309847
"10870"	31160,8039015895	36067,2533004594	51002,3810479022	40269,3263513815
"10873"	48563,6496518023	65351,3661364229	135462,750249014	105409,156173224
"10875"	42680,7341682298	48997,3427311844	70255,4361025475	55692,0391003646
"10876"	141698,908640735	185928,839519255	370960,490808274	294790,378525623
"10877"	74401,5766136865	100107,841300247	208214,858693775	162835,506958799
